identifier,village_name,admin_cgaz_1,admin_cgaz_2,lat,lon,population,num_connections,energy_demand,year15_demand_mwh,distance_to_existing_transmission_lines,has_health_facility,has_education_facility,mean_rwi,lcoe_grid,lcoe_mg,lcoe_shs,technology,lcoe_best,priority_score,priority_rank
603,Tori-Bossito,Atlantique,Tori-Bossito,6.48633,2.137621,54,21,9.388,15.728174823101272,8.067705430743244,False,False,0.299,2.8463,0.2434,0.8213,Mini-Grid,0.2434,16.050499900719803,1962
3388,Abidomey,Ouémé,Adjohoun,6.739608,2.571264,693,269,67.517,113.11452700589354,1.5399425353752116,False,False,-0.685,0.3807,0.3026,0.8213,Mini-Grid,0.3026,14.893078637979865,2340
6081,Kétou,Plateau,Ketou,7.358907,2.653937,284,110,37.31,62.50726487536307,2.333569345733321,False,True,-0.392,0.4237,0.2675,0.8213,Mini-Grid,0.2675,27.37305693945384,285
9414,Location #14833,Donga,Copargo,9.869876,1.493091,46,18,3.906,6.543912532917934,5.264546187454903,False,False,-0.185,4.5496,0.3238,0.8213,Mini-Grid,0.3238,9.199614720989494,15571
4788,Zinkanme,Zou,Djidja,7.264561,1.959722,418,162,37.319,62.52234301483984,5.529857654572779,False,False,-0.418,0.7983,0.3147,0.8213,Mini-Grid,0.3147,11.75844625652342,7282
5236,Kétou,Plateau,Ketou,7.436193,2.704396,134,52,13.466,22.560247354908576,5.548275534864787,False,False,0.122,1.5815,0.2985,0.8213,Mini-Grid,0.2985,10.40099872102466,12880
7712,Tchaourou,Borgou,Tchaourou,9.242418,2.954485,946,367,81.821,137.07871668097243,40.88937323949748,False,False,-0.133,1.9028,0.3196,0.8213,Mini-Grid,0.3196,9.405851702736687,15257
8067,Partago,Donga,Bassila,9.325071,1.495631,52,20,4.34,7.271013925464372,39.14378176890327,False,False,-0.343,28.4062,0.3238,0.8213,Mini-Grid,0.3238,10.175816168373052,13586
2189,Location #3453,Atlantique,Allada,6.75536,2.134258,309,120,30.421,50.96578678031144,13.139533825833865,False,False,-0.18,1.6499,0.3013,0.8213,Mini-Grid,0.3013,11.926622689648653,6723
13791,Location #10337,Atakora,Materi,10.746933,1.167942,77,30,6.51,10.906520888196557,62.987927349321566,False,False,-0.108,30.447,0.3238,0.8213,Mini-Grid,0.3238,8.724376564870997,16136
10066,Damè-Centre,Atlantique,Toffo,6.905976,2.257488,273,106,27.799,46.573022146079275,29.945246073011162,False,False,0.419,3.6463,0.2968,0.8213,Mini-Grid,0.2968,8.776305150877116,16073
12607,Sayakrou,Atakora,Pehunco,10.325475,1.991391,1054,409,96.165,161.10992030928142,62.48532377845142,False,True,-0.439,2.3513,0.3117,0.8213,Mini-Grid,0.3117,22.26485835610172,817
8801,Location #15319,Donga,Djougou,9.577731,1.944808,44,17,3.689,6.180361836644716,6.472192810989151,False,False,-0.772,5.8142,0.3238,0.8213,Mini-Grid,0.3238,12.826026429632096,4457
12098,Dipoli,Atakora,Kobli,10.444677,1.004766,59,23,4.991,8.361666014284026,49.275231060659586,False,False,-0.582,31.0604,0.3238,0.8213,Mini-Grid,0.3238,11.65244438087518,7654
